date,spot,fut
2022-12-22,1038.34,1037.7
2022-12-23,1034.13,1034.8
2022-12-26,987.77,986.4
2022-12-27,1007.36,1001.0
2022-12-28,1013.95,1008.0
2022-12-29,1008.3,993.0
2022-12-30,1005.19,1004.5
2023-01-03,1047.25,1045.5
2023-01-04,1050.15,1042.7
2023-01-05,1061.9,1053.8
2023-01-06,1057.4,1051.0
2023-01-09,1061.14,1053.6
2023-01-10,1060.53,1056.6
2023-01-11,1065.22,1062.7
2023-01-12,1066.24,1065.2
2023-01-13,1069.86,1069.1
2023-01-16,1075.71,1075.2
2023-01-17,1103.73,1107.0
2023-01-18,1115.72,1117.3
2023-01-19,1121.92,1121.0
2023-01-27,1130.65,1127.0
2023-01-30,1113.95,1109.8
2023-01-31,1125.07,1125.0
2023-02-01,1088.09,1088.5
2023-02-02,1093.48,1088.0
2023-02-03,1085.7,1081.9
2023-02-06,1094.37,1090.6
2023-02-07,1069.5,1067.3
2023-02-08,1073.38,1072.0
2023-02-09,1059.91,1057.0
2023-02-10,1048.74,1045.0
2023-02-13,1040.4,1038.6
2023-02-14,1034.93,1030.9
2023-02-15,1043.34,1037.0
2023-02-16,1055.26,1052.3
2023-02-17,1053.72,1049.0
2023-02-20,1087.36,1088.0
2023-02-21,1080.9,1076.1
2023-02-22,1051.08,1043.8
2023-02-23,1050.95,1048.0
2023-02-24,1030.42,1020.0
2023-02-27,1011.46,1011.0
2023-02-28,1014.96,1008.0
2023-03-01,1034.43,1032.0
2023-03-02,1028.73,1024.0
2023-03-03,1013.35,1005.2
2023-03-06,1014.26,1010.0
2023-03-07,1027.16,1027.9
2023-03-08,1040.59,1038.0
2023-03-09,1050.28,1050.7
2023-03-10,1047.2,1049.8
2023-03-13,1050.07,1048.0
2023-03-14,1037.35,1037.9
2023-03-15,1064.38,1063.0
2023-03-16,1046.99,1043.0
2023-03-17,1047.71,1045.1
2023-03-20,1024.5,1022.4
2023-03-21,1035.04,1030.5
2023-03-22,1043.14,1034.5
2023-03-23,1046.6,1038.9
2023-03-24,1051.42,1043.1
2023-03-27,1056.45,1047.3
2023-03-28,1058.82,1051.5
2023-03-29,1061.45,1056.0
2023-03-30,1067.24,1064.5
2023-03-31,1073.68,1066.0
2023-04-03,1088.72,1083.0
2023-04-04,1088.34,1080.2
2023-04-05,1089.83,1084.1
2023-04-06,1078.86,1073.0
2023-04-10,1077.41,1072.8
2023-04-11,1081.71,1076.0
2023-04-12,1080.69,1075.0
2023-04-13,1074.67,1070.0
2023-04-14,1063.43,1063.1
2023-04-17,1065.02,1064.5
2023-04-18,1064.55,1063.0
2023-04-19,1056.14,1055.0
2023-04-20,1053.61,1053.9
2023-04-21,1046.18,1040.0
2023-04-24,1046.17,1040.9
2023-04-25,1037.04,1030.7
2023-04-26,1045.24,1037.5
2023-04-27,1041.54,1035.0
2023-04-28,1051.43,1042.5
2023-05-04,1039.64,1035.0
2023-05-05,1038.46,1033.5
2023-05-08,1049.7,1041.8
2023-05-09,1049.67,1042.2
2023-05-10,1054.99,1050.6
2023-05-11,1054.93,1051.6
2023-05-12,1066.44,1064.9
2023-05-15,1070.9,1066.5
2023-05-16,1069.64,1067.0
2023-05-17,1062.1,1065.0
2023-05-18,1070.76,1074.2
2023-05-19,1068.84,1062.5
2023-05-22,1073.74,1065.3
2023-05-23,1068.05,1059.5
2023-05-24,1061.55,1056.1
2023-05-25,1062.15,1057.0
2023-05-26,1060.81,1056.5
2023-05-29,1069.77,1068.0
2023-05-30,1071.82,1068.2
2023-05-31,1066.33,1062.6
2023-06-01,1068.09,1065.0
2023-06-02,1086.96,1078.8
2023-06-05,1091.08,1087.2
2023-06-06,1102.32,1096.1
2023-06-07,1105.68,1098.0
2023-06-08,1092.46,1089.0
2023-06-09,1100.85,1095.3
2023-06-12,1109.63,1108.3
2023-06-13,1115.39,1115.5
2023-06-14,1110.6,1112.1
2023-06-15,1108.57,1109.3
2023-06-16,1109.06,1102.6
2023-06-19,1098.94,1096.5
2023-06-20,1104.27,1100.0
2023-06-21,1112.07,1115.5
2023-06-22,1117.6,1114.0
2023-06-23,1126.76,1119.1
2023-06-26,1131.23,1123.0
2023-06-27,1134.41,1125.2
2023-06-28,1141.12,1132.4
2023-06-29,1125.29,1115.0
2023-06-30,1123.13,1117.3
2023-07-03,1123.37,1117.5
2023-07-04,1128.0,1123.0
2023-07-05,1129.76,1124.0
2023-07-06,1119.44,1116.0
2023-07-07,1129.43,1125.0
2023-07-10,1143.16,1136.5
2023-07-11,1146.67,1138.0
2023-07-12,1146.54,1141.8
2023-07-13,1156.11,1155.0
2023-07-14,1160.59,1162.1
2023-07-17,1164.58,1161.8
2023-07-18,1166.82,1165.0
2023-07-19,1165.19,1164.1
2023-07-20,1168.26,1165.1
2023-07-21,1186.6,1184.9
2023-07-24,1193.14,1191.4
2023-07-25,1198.01,1194.0
2023-07-26,1201.43,1197.0
2023-07-27,1199.68,1193.8
2023-07-28,1212.45,1210.0
2023-07-31,1230.81,1234.2
2023-08-01,1222.18,1220.0
2023-08-02,1221.32,1218.0
2023-08-03,1210.8,1208.4
2023-08-04,1231.42,1234.6
2023-08-07,1250.68,1250.2
2023-08-08,1247.81,1248.0
2023-08-09,1239.84,1240.0
2023-08-10,1226.2,1226.0
2023-08-11,1240.77,1239.5
2023-08-14,1243.43,1239.1
2023-08-15,1241.24,1241.0
2023-08-16,1256.95,1255.3
2023-08-17,1247.82,1253.5
2023-08-18,1190.1,1188.0
2023-08-21,1190.32,1190.9
2023-08-22,1193.51,1196.0
2023-08-23,1182.97,1180.6
2023-08-24,1201.88,1198.0
2023-08-25,1193.93,1194.5
2023-08-28,1213.4,1211.0
2023-08-29,1215.47,1211.8
2023-08-30,1225.56,1224.2
2023-08-31,1234.53,1233.0
2023-09-05,1244.64,1242.5
2023-09-06,1260.03,1263.0
2023-09-07,1255.22,1255.2
2023-09-08,1249.14,1249.9
2023-09-11,1230.71,1233.0
2023-09-12,1255.83,1257.0
2023-09-13,1247.95,1245.0
2023-09-14,1234.06,1235.0
2023-09-15,1238.81,1240.5
2023-09-18,1223.7,1222.0
2023-09-19,1225.5,1222.0
2023-09-20,1234.57,1231.6
2023-09-21,1219.19,1220.6
2023-09-22,1197.69,1192.6
2023-09-25,1159.94,1162.5
2023-09-26,1153.37,1151.6
